Fraction,Repeat,Osmolarity,Units,Date
before,1,1263.666667,mmol/kg,4/3/2024
before,2,1261.666667,mmol/kg,4/3/2024
before,3,1269,mmol/kg,4/3/2024
after,1,1034.666667,mmol/kg,4/3/2024
after,2,1027.333333,mmol/kg,4/3/2024
after,3,1096.666667,mmol/kg,4/3/2024
before,1,1052,mmol/kg,4/10/2024
before,2,1056.333333,mmol/kg,4/10/2024
before,3,1073,mmol/kg,4/10/2024
after,1,796.6666667,mmol/kg,4/10/2024
after,2,826,mmol/kg,4/10/2024
after,3,866,mmol/kg,4/10/2024
before,1,1037.666667,mmol/kg,5/24/2024
before,2,1042,mmol/kg,5/24/2024
before,3,1028.666667,mmol/kg,5/24/2024
after,1,826,mmol/kg,5/24/2024
after,2,811.3333333,mmol/kg,5/24/2024
after,3,802.6666667,mmol/kg,5/24/2024
