PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,PG.ProteinNames,P1,P2,P3,S1,S2,S3,T1,T2,T3,S1_cf,S2_cf,S3_cf,P1_cf,P2_cf,P3_cf,T1_cf,T2_cf,T3_cf,S/T_mean,S/SP_mean,S/P_mean,S/P_pval,S/T_pval,log2(S/T),S/P_pval_adj,-logPval_S/T,-logPval_S/P
A5Z2X5,A5Z2X5,YPR010C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),UPF0495 protein YPR010C-A,YP010_YEAST,35.31901931762695,40.71866226196289,42.590457916259766,11.592233657836914,24.87451171875,,36.957149505615234,27.03544807434082,20.28614616394043,3.4032402056246025,6.356986637949037,,24.950085243931877,30.31250857174422,30.00278052111854,36.957149505615234,27.03544807434082,20.28614616394043,0.17371331862573852,0.1465415699558456,0.1717032309918881,0.0022329635023434443,0.03248392776921078,-2.525219724957145,0.0038372894885653004,1.4883314638716871,2.415975436000009
D6W196,D6W196,SAL1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Truncated non-functional calcium-binding mitochondrial carrier SAL1-1,CMC1_YEAST,59.90885543823242,65.34967803955078,45.63500213623047,46.50314331054688,69.26109313964844,97.35847473144533,14.385781288146973,18.531997680664062,20.62504005432129,13.652361716793342,17.700522068403217,28.77445163919161,42.32085371929631,48.648766086430754,32.147504867548925,14.385781288146973,18.531997680664062,20.62504005432129,1.1229766478752474,0.328126347679717,0.4883750784787417,0.033635079908445414,0.6870382252965451,0.1673279274314247,0.03737328146669383,0.16301909907796405,1.4274387683448717
O13297,O13297,CET1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),mRNA-capping enzyme subunit beta,CET1_YEAST,803.547607421875,913.2674560546876,816.6864624023438,1206.18994140625,1379.72119140625,1296.0670166015625,928.9428100585938,965.5252075195312,905.0198974609376,354.11243642752015,352.60467731124623,383.05466260871617,567.6426381614588,679.8707534115892,575.3134829919682,928.9428100585938,965.5252075195312,905.0198974609376,0.3892753994375705,0.3741578936754859,0.5978471085508524,0.015866275214474982,6.747737143836623e-05,-1.3611369195595784,0.018853593902454443,4.170841843570277,1.724605851652737
O13329,O13329,FOB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),DNA replication fork-blocking protein FOB1,FOB1_YEAST,266.8440856933594,236.8519592285156,288.50958251953125,179.0595245361328,172.65267944335938,153.02578735351562,205.8598175048828,177.9329833984375,225.9906005859375,52.56817547750342,44.123510388355406,45.22701418545104,188.50417745222117,176.32153527439317,203.24011776516727,205.8598175048828,177.9329833984375,225.9906005859375,0.23273624651754315,0.19988984822352596,0.2498279115440707,0.0012549861088055427,0.0063579998158376306,-2.103232180238438,0.002584256765918632,2.196679489000784,2.5876643380137847
O13516,O13516,RPS9A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Small ribosomal subunit protein uS4A,RS9A_YEAST,74306.15625,74821.0546875,77178.796875,62903.86328125,57212.06640625,60078.90625,73840.625,80090.6484375,75953.078125,18467.27411874904,14621.245465487304,17756.4160407681,52491.40458611652,55699.61623421109,54368.48103576261,73840.625,80090.6484375,75953.078125,0.2211761491350617,0.23825622477746633,0.31277738332402233,2.4690600668572904e-05,4.0341731413765984e-05,-2.1767322761312085,0.000309659096998223,4.3942454663783845,3.5091161569975466
O13521,O13521,YPL035C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Putative uncharacterized protein YPL035C,YP035_YEAST,157.81451416015625,127.05615997314452,111.5083236694336,183.9228363037109,147.44259643554688,172.802734375,164.96585083007812,147.36085510253906,135.2935028076172,53.99594329416744,37.68076439059382,51.07212224831139,111.4834346224466,94.58539952764124,78.55186173179483,164.96585083007812,147.36085510253906,135.2935028076172,0.31890613324813827,0.3340173346727599,0.5015405836556358,0.021260972170069125,0.001477597669601721,-1.6487962509140397,0.02455484478157241,2.8304438025163203,1.609862806827415
O13525,O13525,COQ4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Ubiquinone biosynthesis protein COQ4, mitochondrial",COQ4_YEAST,102.46092224121094,99.3784637451172,97.2663345336914,82.15003204345703,75.17314147949219,79.50460052490234,73.17677307128906,83.75076293945312,92.8470687866211,24.11755147418334,19.21141855249244,23.497710797210726,72.38051320451699,73.98107812924552,68.51911507610092,73.17677307128906,83.75076293945312,92.8470687866211,0.2675479393835956,0.23722019319442378,0.3109943276918557,2.5519552635730483e-05,0.005662730778597248,-1.902130677338541,0.0003137878325525596,2.2469740854066615,3.5033639006398793
O13535,O13535,TY1B-H,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Transposon Ty1-H Gag-Pol polyprotein,YH11B_YEAST,689.9644165039062,572.5653076171875,645.5643310546875,196.43572998046875,218.78651428222656,188.20602416992188,614.0303344726562,610.9696044921875,565.7435913085938,57.66947025250813,55.913577865618194,55.624588980262764,487.40512448092556,426.23921884688906,454.7667690020797,614.0303344726562,610.9696044921875,565.7435913085938,0.09449015687497803,0.11004524831744136,0.12365263302363244,0.001925924582627894,0.0008184517169997757,-3.403692139459813,0.0034524638831440126,3.0870069358721612,2.4618708559595563
O13539,O13539,THP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),THO complex subunit THP2,THP2_YEAST,702.8113403320312,741.4315795898438,717.8521118164062,620.8692016601562,726.3892822265625,618.4793701171875,604.2131958007812,667.416015625,673.34814453125,182.2743650526251,185.6376926419401,182.79255888472468,496.480457002235,551.949643313149,505.6897814950866,604.2131958007812,667.416015625,673.34814453125,0.28314191673882716,0.2616392088749403,0.35435143905227384,0.0025431632693426187,0.0022152963334564958,-1.8204027511726504,0.0041919089481960966,2.6545681713023384,2.377588159164944
O13547,O13547,CCW14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Covalently-linked cell wall protein 14,CCW14_YEAST,100.89221954345705,71.78983306884766,80.77655792236328,288.5852966308594,431.28900146484375,294.27850341796875,139.25015258789062,168.5621795654297,160.83355712890625,84.72267840997826,110.2211955115383,86.97447847669581,71.27234919578949,53.44306048817205,56.90291809872409,139.25015258789062,168.5621795654297,160.83355712890625,0.6015594265213673,0.6081899544350882,1.5522571749231175,0.03341034565469246,0.006619132083485678,-0.7332208302826928,0.03714286023809536,2.1791989525639126,1.430124655852232
