UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P32471,39,2,0,36,1,0,27,2,0,TRUE,FALSE,0.318751311,0.020063555
P10591,40,0,0,33,0,0,27,0,0,TRUE,FALSE,0.521497041,0.003438267
P39704,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.059387879,6.00E-08
P31373,58,6,6,58,6,6,47,7,7,FALSE,TRUE,0.464787703,6.13E-05
P31383,13,0,0,13,0,0,13,0,0,TRUE,FALSE,0.505562805,0.001220056
P31384,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.160380059,0.001264538
P10962,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.16162096,0.000100869
P39524,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.14105515,0.004252807
P31109,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.110604067,0.009377527
P39730,39,2,2,39,2,2,38,2,2,FALSE,TRUE,0.248534036,2.04E-06
P39729,9,6,6,9,3,3,9,6,6,FALSE,TRUE,0.184788515,0.001883786
P00549,231,2,0,216,14,1,168,3,0,TRUE,FALSE,0.406344897,0.000592077
Q01329,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.221848325,0.000314846
P39726,6,0,0,6,0,0,5,0,0,TRUE,FALSE,0.534471767,0.000244421
P39721,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.405588061,0.000673539
P39715,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.273219253,8.42E-06
P39714,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.428611903,0.000805607
P39705,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.271014041,1.70E-05
P22336,7,3,3,7,3,3,7,3,3,FALSE,TRUE,0.352197305,0.001078306
P27637,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.245244491,0.001231587
P27616,12,0,0,12,0,0,12,0,0,TRUE,FALSE,0.473321944,0.000349004
P35842,32,0,0,32,0,0,27,0,0,TRUE,FALSE,0.262627102,3.91E-06
P35195,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.511682863,0.005318503
P35194,9,7,7,9,7,7,9,7,7,FALSE,TRUE,0.147942138,0.001352535
P32790,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.295485087,3.38E-05
P32316,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.389105557,0.000913797
P32319,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.183588669,0.000437652
P36775,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.352791151,4.95E-05
P38205,28,1,0,28,1,0,26,1,0,TRUE,FALSE,0.305871766,7.40E-06
P38203,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.272594253,0.001572272
P38202,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.290541198,9.91E-06
P18239,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.025272397,0.002851817
P38199,9,2,2,9,2,2,9,2,2,FALSE,TRUE,0.201889215,0.000383639
P38066,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.45824748,0.001627628
P38197,12,1,3,12,1,3,12,1,3,FALSE,TRUE,0.624578042,0.000975481
P28274,44,2,1,44,3,2,38,1,0,FALSE,TRUE,0.378037265,0.000713863
P23724,5,0,0,5,0,0,4,0,0,TRUE,FALSE,0.368363562,8.17E-05
P07256,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.338771007,0.000135988
P34216,14,2,3,14,2,3,14,2,3,FALSE,TRUE,0.290237314,2.64E-06
P32602,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.083611436,0.005522079
P34217,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.277266461,5.36E-06
P34220,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.505390499,2.20E-05
P34221,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.296048502,0.000291316
P34223,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.420376393,0.000114354
P34226,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.246534244,0.00015626
P34227,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.363192694,0.005329988
P38063,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.381567667,3.17E-05
P0CX39,41,1,1,41,1,1,30,1,1,TRUE,FALSE,0.214796185,0.01065301
P09436,94,3,0,93,3,1,83,3,0,TRUE,FALSE,0.385176531,0.00021102
P0CX41,22,0,0,18,0,0,15,0,0,TRUE,FALSE,0.214796185,0.01065301
P38174,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.305871553,0.000368401
P38061,11,0,0,9,2,0,8,0,0,TRUE,FALSE,0.271704573,0.004084527
P07251,18,4,5,18,4,5,18,4,5,FALSE,TRUE,0.246569037,0.001577729
P24583,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.1818258,2.25E-06
P02309,11,2,3,11,3,4,11,2,3,FALSE,TRUE,0.190897514,0.000304346
P61830,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.187993966,0.002099539
P00817,73,4,1,73,4,1,58,4,1,TRUE,FALSE,0.563364113,4.94E-05
P38068,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.181685347,0.00785351
P38069,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.084842013,0.000986145
P38217,12,0,0,12,0,0,12,0,0,TRUE,FALSE,0.371170459,3.41E-05
P38219,40,1,1,40,1,0,38,1,1,TRUE,FALSE,0.298681372,0.000177138
P38071,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.386344183,0.002637048
P10664,58,3,3,58,6,5,53,3,3,FALSE,TRUE,0.236766003,0.002443508
P38074,10,0,0,10,0,0,9,0,0,TRUE,FALSE,0.469191948,0.003527406
P38075,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.575889366,0.001080902
P38077,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.113147192,3.54E-06
P38230,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.394562364,5.12E-05
P38235,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.481971872,0.007676856
P38237,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.37980941,6.59E-05
P38080,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.161974604,0.000280823
P38238,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.310636197,7.92E-06
P15992,6,3,4,6,3,4,6,3,4,FALSE,TRUE,0.157927922,0.001152351
P38248,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.1818134,0.002456714
P38249,41,1,1,41,6,5,41,1,1,FALSE,TRUE,0.287559755,1.20E-05
P18759,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.156858562,1.99E-05
P15731,10,0,0,10,0,0,5,0,0,TRUE,FALSE,0.46843999,0.16260655
P09440,15,5,5,15,5,5,13,4,4,FALSE,TRUE,0.211769661,6.34E-06
P38250,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.190883559,3.46E-05
P38251,4,3,4,4,3,4,4,3,4,FALSE,TRUE,0.16631782,0.000106923
P15873,19,1,0,19,1,0,18,0,0,TRUE,FALSE,0.524005911,0.000483409
P24031,5,0,0,5,0,0,4,0,0,TRUE,FALSE,0.499203856,0.001837046
P00635,11,1,1,11,1,1,10,1,1,TRUE,FALSE,0.525975179,0.0042637
P38254,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.290480649,0.000261322
P38260,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.396210444,0.000617079
P38262,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.248970181,0.001066354
P06787,8,0,0,8,0,0,7,0,0,TRUE,FALSE,0.347857823,0.003135973
Q01976,5,2,3,5,2,3,5,2,3,FALSE,TRUE,0.79740899,0.006351011
P14922,7,1,0,6,0,0,6,0,0,TRUE,FALSE,0.406501599,4.33E-05
P02994,211,24,20,194,27,23,147,18,16,FALSE,TRUE,0.229276618,2.02E-06
P38088,66,7,7,66,7,7,58,5,5,FALSE,TRUE,0.496105804,0.004477934
P32367,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.260618056,0.000580436
Q00764,22,0,0,22,0,0,20,0,0,TRUE,FALSE,0.348127942,7.05E-05
P16140,47,2,0,47,3,0,45,2,0,TRUE,FALSE,0.314690828,1.79E-05
P20486,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.315839967,1.86E-05
P38276,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.37053884,0.000157068
P38109,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.360878419,0.002857751
P18963,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.189411045,0.000937218
P38112,3,1,2,3,1,2,3,1,2,FALSE,TRUE,0.140943807,5.77E-05
P12385,14,5,7,14,3,5,13,6,7,FALSE,TRUE,0.188417245,9.36E-07
P38115,27,2,2,27,2,2,26,3,3,FALSE,TRUE,0.628102084,0.005849675
P38281,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.385697524,1.81E-05
P20434,3,0,0,3,0,1,3,0,0,TRUE,FALSE,0.259363649,1.18E-05
P33313,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.410656448,7.47E-05
P00546,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.263708014,0.003920387
P38288,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.392602385,0.001554258
P38116,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.348892838,0.000502396
P20049,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.410006421,0.000265647
P32590,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.458895187,8.67E-05
P33755,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.351282324,0.000475033
P32909,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.149140644,0.000390549
P38301,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.171197678,0.108185521
Q02753,16,1,1,16,1,1,16,1,1,TRUE,FALSE,0.207158678,0.003943909
P12709,97,4,0,88,4,0,66,3,0,TRUE,FALSE,0.366268582,0.000161754
P38129,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.167058079,3.70E-08
P38131,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.13246711,0.00578856
P29366,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.205429196,0.000802111
P38130,3,3,3,3,3,3,3,3,3,FALSE,TRUE,0.105012269,0.016590601
P32528,19,1,0,19,1,0,19,1,0,TRUE,FALSE,0.293258919,7.21E-06
P38314,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.389551889,0.000223919
P32327,48,1,0,48,1,0,43,1,0,TRUE,FALSE,0.375064456,0.000487914
P32473,25,1,1,25,7,7,23,2,2,FALSE,TRUE,0.204665341,8.16E-05
P38137,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.233108582,0.00110002
P38328,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.439520483,0.000111053
P38143,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.268554987,3.43E-05
P38144,6,1,2,6,1,2,6,1,2,FALSE,TRUE,0.254795267,0.000502102
P38332,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.321486765,0.000119263
P38333,6,2,3,6,2,3,6,2,3,FALSE,TRUE,0.177923769,0.000163295
P33734,12,0,0,12,0,0,12,0,0,TRUE,FALSE,0.479404304,0.000404074
P32449,40,4,5,39,4,5,37,4,5,FALSE,TRUE,0.648635415,0.000521392
P33317,8,3,8,8,3,8,8,3,8,FALSE,TRUE,0.770248789,0.036205429
P32570,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.222512406,0.004257743
P38145,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.495035351,0.009798852
P38339,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.224382379,9.33E-06
P37292,30,0,0,30,0,0,29,0,0,TRUE,FALSE,0.427835521,0.000642843
P38344,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.27025862,0.000232141
P38345,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.482227986,0.002964268
P38348,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.392188367,0.007438657
P38351,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.245261314,0.002030614
P38149,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.388338891,4.23E-05
P38353,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.023981498,0.002796713
P37302,34,1,1,34,1,1,27,1,1,TRUE,FALSE,0.454923066,1.20E-05
P25605,10,6,7,10,6,7,9,5,6,FALSE,TRUE,0.082475891,0.005811079
P25555,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.214973338,6.97E-05
P25374,4,0,1,4,1,2,4,0,1,FALSE,TRUE,0.229788079,0.003092345
P00815,47,4,2,47,4,2,45,4,2,FALSE,TRUE,0.449643221,0.000148638
P25344,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.166425999,0.003989586
P25566,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.31741712,0.000386198
P25369,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.409467735,0.001256037
P25373,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.706083934,0.014109775
P25567,14,6,9,14,6,9,13,5,8,FALSE,TRUE,0.165649869,0.002844718
P17709,35,3,1,35,3,1,33,3,2,TRUE,FALSE,0.53703154,5.99E-05
P17967,38,1,1,38,1,0,35,1,1,TRUE,FALSE,0.315828558,3.07E-05
P25576,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.414751366,0.045198145
P16550,16,1,0,15,1,0,13,1,0,TRUE,FALSE,0.315339753,5.15E-05
P25582,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.258045992,7.13E-05
P25375,8,0,0,8,0,0,7,0,0,TRUE,FALSE,0.346151052,8.79E-05
P25586,5,4,4,5,4,4,5,4,4,FALSE,TRUE,0.161132192,0.000896876
P25588,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.119024117,0.000451182
P25379,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.074399235,0.000112411
P25342,10,0,0,10,0,0,9,0,0,TRUE,FALSE,0.285576212,2.44E-05
P25349,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.241397688,0.006369448
P25343,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.282759966,4.42E-06
P00560,235,8,1,228,8,1,166,8,1,TRUE,FALSE,0.409876411,0.000153892
P25617,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.203027429,0.003492713
P06367,26,3,3,26,3,3,19,1,1,FALSE,TRUE,0.26215278,5.41E-06
P25359,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.272293763,0.004161221
P25332,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.799399869,0.041991035
P25361,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.055653632,0.001183517
P25626,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.214529445,0.0099128
P25631,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.321641256,0.000698641
P25632,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.21148905,0.001670937
P16120,60,4,1,60,6,3,47,4,1,FALSE,TRUE,0.49084343,0.000881886
P25635,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.147321022,0.002613366
P25382,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.295616215,1.54E-05
P25659,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.547534855,0.015188309
P25644,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.183277615,0.001914371
P25372,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.37831883,0.026512989
P16649,17,0,0,17,0,0,17,0,0,TRUE,FALSE,0.373069955,3.96E-05
P15891,26,0,0,26,0,0,22,0,0,TRUE,FALSE,0.39079223,2.67E-05
P25654,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.397618132,0.000271985
P25655,11,7,9,11,7,9,11,7,9,FALSE,TRUE,0.136330448,0.000550806
P37262,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.349268329,0.000549993
P33767,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.026437093,1.99E-07
P40005,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.49148288,0.001611182
P32775,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.418459207,4.23E-05
P39968,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.070651331,0.000148103
P39993,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.289442076,0.003375558
P39990,7,2,2,7,2,2,6,2,2,FALSE,TRUE,0.136539782,0.000181262
P25515,4,2,2,4,2,2,4,2,2,FALSE,TRUE,0.24743048,0.017247186
