UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,,,,,,,
P08679,408,434,26,0.3432,0.000312,66, nan, cytoplasm; peroxisome,5.588,3,0,0,0,3,3,0,3,0,3,0,0,0,1,2,3,2,2,0,1,0,0.076923077,0.230769231,0.153846154,0.307692308,0.230769231,,,,,,,,,,,,,,,,,,,
P11938,595,627,32,0.3206,0.000079,66, False, nucleus; chromosome; telomere,4.076,15,0,0,0,0,0,0,0,1,0,0,4,1,2,3,4,1,1,0,1,0,0.121212121,0.484848485,0.03030303,0.03030303,0.333333333,,,,,,,,,,,,,,,,,,,
P18480,30,68,38,0.2212,0.006594,30, nan, nucleus,2.678,0,0,0,0,0,0,1,2,0,4,1,0,2,20,3,2,1,0,0,1,0,0.081081081,0.054054054,0.027027027,0.189189189,0.648648649,,,,,,,,,,,,,,,,,,,
P22133,262,282,20,0.4434,0.000015,90, True, cytoplasm,5.47,2,1,0,0,1,2,1,0,1,4,1,0,0,1,0,2,1,2,0,1,0,0.05,0.2,0.1,0.35,0.3,,,,,,,,,,,,,,,,,,,
P25367,175,214,39,0.1072,0,6, False, nucleus; cytoplasm,4.272,6,0,0,0,3,4,0,0,0,3,3,6,0,4,0,11,0,0,0,0,0,0,0.25,0.075,0.15,0.525,,,,,,,,,,,,,,,,,,,
P25379,11,36,25,0.0744,0.000112,6, True, mitochondrion,4.396,2,1,0,0,5,2,0,0,3,2,0,0,2,2,1,2,0,0,0,1,0,0.173913043,0.260869565,0.260869565,0.086956522,0.217391304,,,,,,,,,,,,,,,,,,,
P32259,29,48,19,0.1973,3.00E-06,18, nan, nucleus,4.328,0,0,0,0,2,1,0,2,1,2,0,2,1,1,1,1,2,0,1,1,0,0.111111111,0.111111111,0.222222222,0.222222222,0.333333333,,,,,,,,,,,,,,,,,,,
P33306,358,385,27,0.1063,0.002202,6, nan, ,4.518,4,1,0,0,2,2,0,2,2,1,1,1,1,0,2,5,4,0,0,0,0,0.142857143,0.25,0.071428571,0.142857143,0.392857143,,,,,,,,,,,,,,,,,,,
P38996,676,718,42,0.2473,6.00E-06,42, False, nucleus; nucleoplasm,3.773,3,0,0,0,0,2,1,2,0,4,2,3,3,12,0,4,0,1,0,0,0,0,0.216216216,0,0.243243243,0.540540541,,,,,,,,,,,,,,,,,,,
P40054,7,36,29,0.5139,0.000041,90, True, ,4.08,2,1,0,0,2,2,0,0,0,1,3,4,2,4,0,4,4,1,0,0,0,0,0.2,0.066666667,0.166666667,0.566666667,,,,,,,,,,,,,,,,,,,
P40210,50,75,25,0.2065,0.000542,30, nan, cytoplasm,3.492,1,0,0,0,0,2,1,1,2,3,0,5,0,0,3,4,3,1,0,0,0,0.192307692,0.115384615,0,0.192307692,0.5,,,,,,,,,,,,,,,,,,,
P49166,6,76,70,0.2627,0.000553,54, nan, cytoplasm,2.695,4,0,0,0,2,7,3,0,9,2,0,4,1,1,10,5,6,0,1,2,0,0.333333333,0.210526316,0.087719298,0.035087719,0.333333333,,,,,,,,,,,,,,,,,,,
P51402,6,76,70,0.2667,0.004378,54, False, cytoplasm,2.698,3,0,0,0,2,6,3,0,8,2,1,4,1,1,10,6,5,0,1,1,0,0.333333333,0.185185185,0.074074074,0.055555556,0.351851852,,,,,,,,,,,,,,,,,,,
P53185,342,409,67,0.2289,0.0001,30, nan, nucleus; nucleolus; cytoplasm,4.054,0,1,0,0,2,3,0,10,2,5,1,20,0,3,1,6,12,1,0,1,0,0.044117647,0.044117647,0.044117647,0.25,0.617647059,,,,,,,,,,,,,,,,,,,
Q03124,42,70,28,0.203,0.000043,30, False, nucleus,4.45,2,0,0,0,2,2,1,1,1,3,0,4,1,2,0,2,2,2,0,1,0,0.038461538,0.192307692,0.115384615,0.230769231,0.423076923,,,,,,,,,,,,,,,,,,,
