X-group,Structrually Altered,Structrually Retained,N,Domain Size,Expected Structrually Altered,Expected Structrually Retained,Chi Sq P-value
HAD domain-like,37,132,169,203.7988166,13.14339129,155.8566087,7.27E-12
HhH/H2TH,10,42,52,115.7692308,4.044120396,47.9558796,0.002042364
Histone-like,17,78,95,99.67368421,7.388296878,87.61170312,0.000231218
Alpha-lytic protease prodomain-like,35,180,215,97.04651163,16.72088241,198.2791176,3.24E-06
Immunoglobulin-like beta-sandwich,17,88,105,139.8857143,8.166012339,96.83398766,0.001286001
jelly-roll,11,60,71,150.2957746,5.521779772,65.47822023,0.015198263
beta-Grasp,16,96,112,92.40178571,8.710413161,103.2895868,0.010112446
Bacillus chorismate mutase-like,20,138,158,135.0189873,12.28790428,145.7120957,0.021966723
beta-propeller-like,37,256,293,266.9726962,22.787063,270.212937,0.00193247
Nucleotide-diphospho-sugar transferases,12,92,104,297.7403846,8.088240793,95.91175921,0.152065694
FwdE/GAPDH domain-like,22,169,191,175.4764398,14.8543653,176.1456347,0.053531328
Alpha-beta plaits,59,457,516,108.5213178,40.13011778,475.8698822,0.001923436
P-loop domains-like,117,913,1030,175.6572816,80.10469247,949.8953075,1.77E-05
HTH,20,163,183,85.81967213,14.23219293,168.7678071,0.111374416
Rossmann-like,112,1091,1203,208.2427265,93.55916994,1109.44083,0.047115229
cradle loop barrel,35,388,423,106.9858156,32.89736399,390.102636,0.702656432
Repetitive alpha hairpins,72,802,874,348.1064073,67.97233128,806.0276687,0.610957051
Thiamin diphosphate-binding fold (THDP-binding),19,228,247,223.9149798,19.20957188,227.7904281,0.960288567
GroES-like,6,73,79,137,6.143952141,72.85604786,0.951777429
SH3,18,227,245,104.8163265,19.05402879,225.9459712,0.801471511
OB-fold,15,206,221,118.0361991,17.18751168,203.8124883,0.582699757
Protein kinase/SAICAR synthase/ATP-grasp,10,138,148,201.5405405,11.51018882,136.4898112,0.642989931
Rubredoxin-like,4,56,60,65.41666667,4.666292765,55.33370723,0.748067625
ALDH-like,10,143,153,224.875817,11.89904655,141.1009534,0.566460952
C-terminal domain in some PLP-dependent transferases,7,109,116,128.4827586,9.021499346,106.9785007,0.483406796
Ribosomal protein S5 domain 2-like,11,173,184,146.5217391,14.30996448,169.6900355,0.362221963
Thioredoxin-like,12,200,212,123.6650943,16.48756777,195.5124322,0.249799683
Phosphoglycerate mutase-like,7,125,132,240.8257576,10.26584408,121.7341559,0.288508409
Ribosomal protein L13/L15p/L18e/L32e,3,57,60,118.6666667,4.666292765,55.33370723,0.421835249
60S acidic ribosomal protein P1/P2,3,58,61,100.0819672,4.744064311,56.25593569,0.404387136
TIM beta/alpha-barrel,44,1154,1198,277.1260434,93.17031221,1104.829688,1.13E-07
PRTase-like,4,111,115,156.2782609,8.9437278,106.0562722,0.085182428
Cyclophilin-like,2,57,59,158.6440678,4.588521219,54.41147878,0.208270815
Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,2,61,63,149.1904762,4.899607403,58.1003926,0.172542924
Enolase-N/ribosomal protein,3,92,95,116.7052632,7.388296878,87.61170312,0.092735205
"The ""swivelling"" beta/beta/alpha domains",4,123,127,163.2598425,9.876986353,117.1230136,0.051503973
Isocitrate/Isopropylmalate dehydrogenase-like,2,69,71,362.6056338,5.521779772,65.47822023,0.118608154
Phosphorylase/hydrolase-like,2,70,72,233.2083333,5.599551318,66.40044868,0.113195944
Ribonuclease H-like,16,611,627,186.1451356,48.76275939,578.2372406,1.03E-06
PLP-dependent transferases,4,180,184,250.875,14.30996448,169.6900355,0.004539138
"LuxS, MPP, ThrRS/AlaRS common domain",1,52,53,177,4.121891942,48.87810806,0.109328771
HUP domain-like,4,213,217,227.9170507,16.8764255,200.1235745,0.001098929
Flavodoxin-like,8,430,438,173.5913242,34.06393718,403.9360628,3.32E-06
Ntn/PP2C,2,116,118,187.6186441,9.177042438,108.8229576,0.013623796
Ferritin/Heme oxygenase/4-helical cytokines,1,60,61,257.7704918,4.744064311,56.25593569,0.073456743
Phosphoglycerate kinase domain 1,1,62,63,183,4.899607403,58.1003926,0.066577759
alpha/beta-Hammerhead/Barrel-sandwich hybrid,1,69,70,108,5.444008226,64.55599177,0.047329955
Class II aaRS and biotin synthetases,2,262,264,238.2651515,20.53168817,243.4683118,2.06E-05
GroEL equatorial domain-like,0,131,131,166.6335878,10.18807254,120.8119275,0.000888197
Phosphoglycerate kinase domain 2,0,109,109,224,8.477098523,100.5229015,0.002430788
Thiolase-like,0,109,109,234.2568807,8.477098523,100.5229015,0.002430788
6-phosphogluconate dehydrogenase C-terminal domain-like,0,98,98,228.7142857,7.621611516,90.37838848,0.004043131
immunoglobulin/albumin-binding domain-like,0,95,95,99.81052632,7.388296878,87.61170312,0.004648502
Zincin-like,0,88,88,259.1477273,6.843896055,81.15610394,0.006446547
Aconitase iron-sulfur domain,0,79,79,485.1139241,6.143952141,72.85604786,0.009848635
