UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,
P35732,445,470,25,0.1872,0.000093,18, False, nucleus; cytoplasm; chromosome; telomere,2.327,1,0,0,0,0,0,1,0,0,2,0,1,0,15,0,1,1,0,0,4,0,0,0.038461538,0.153846154,0.076923077,0.730769231,,,,,,,,,,,,,
P40956,299,323,24,0.3258,0.010941,66, nan, nucleus,3.592,3,0,1,0,0,1,0,1,0,0,3,0,1,9,0,0,1,1,0,3,0.041666667,0,0.208333333,0.125,0.208333333,0.416666667,,,,,,,,,,,,,
P47117,8,37,29,0.363,0.000555,66, True, cytoplasm; cytoskeleton; actin patch,4.885,3,0,2,0,2,4,0,1,0,1,1,2,2,0,0,2,3,3,1,0,0.074074074,0,0.333333333,0.111111111,0.222222222,0.259259259,,,,,,,,,,,,,
Q12502,28,62,34,0.1787,7.00E-06,18, nan, golgi apparatus; cytoplasm,5.652,2,1,1,2,1,3,0,1,0,5,1,0,2,0,0,4,3,6,0,1,0.090909091,0,0.212121212,0.060606061,0.393939394,0.242424242,,,,,,,,,,,,,
P22354,54,87,33,0.23,0.003359,42, nan, mitochondrion,4.085,3,0,1,2,1,2,0,1,0,1,0,1,4,1,0,6,1,1,0,1,0.115384615,0,0.346153846,0.076923077,0.115384615,0.346153846,,,,,,,,,,,,,
P53935,1121,1189,68,0.1008,0.002121,6, nan, cytoplasm,3.644,3,0,4,1,1,4,0,2,0,3,0,8,1,3,0,5,3,1,0,2,0.12195122,0,0.195121951,0.073170732,0.146341463,0.463414634,,,,,,,,,,,,,
P38427,3,32,29,0.3481,0.000038,66, True, cytoplasm,4.783,1,0,2,2,2,0,0,1,0,5,0,0,3,3,0,5,1,3,0,1,0.137931034,0,0.137931034,0.103448276,0.310344828,0.310344828,,,,,,,,,,,,,
Q12172,775,803,28,0.2502,0.130775,42, nan, nucleus; cytoplasm,4.211,1,0,1,4,3,1,0,2,0,3,1,3,0,2,0,3,1,0,2,0,0.185185185,0,0.074074074,0.185185185,0.222222222,0.333333333,,,,,,,,,,,,,
P34228,1114,1144,30,0.2037,0.000178,30, nan, nucleus,3.848,1,0,4,2,5,3,0,1,0,1,2,3,0,3,0,3,1,0,2,0,0.193548387,0,0.129032258,0.225806452,0.129032258,0.322580645,,,,,,,,,,,,,
P12383,1039,1064,25,0.1065,0.007606,6, nan, nucleus,4.083,0,0,4,2,0,2,0,1,0,4,0,3,0,0,0,2,1,2,1,2,0.25,0,0.083333333,0.125,0.291666667,0.25,,,,,,,,,,,,,
Q12379,87,112,25,0.1835,0.011514,18, nan, ,3.546,0,0,3,3,3,2,1,0,0,2,0,4,0,0,0,2,1,1,2,0,0.25,0,0.083333333,0.208333333,0.125,0.333333333,,,,,,,,,,,,,
Q06682,5,39,34,0.4466,0.009293,90, False, cytoplasm; nucleus,3.959,3,0,4,2,1,2,0,1,0,1,1,2,0,1,0,1,2,1,0,0,0.272727273,0,0.227272727,0.045454545,0.181818182,0.272727273,,,,,,,,,,,,,
P29029,26,307,281,0.3198,0.003473,66, nan, secreted; secreted; cell wall,3.188,10,0,9,13,0,19,0,0,1,2,0,9,2,6,0,21,15,1,0,1,0.201834862,0.009174312,0.28440367,0.009174312,0.027522936,0.467889908,,,,,,,,,,,,,
P38288,31,99,68,0.3926,0.001554,78, True, secreted; secreted; cell wall,4.392,5,3,4,3,3,4,1,3,0,5,1,3,3,4,1,7,5,3,0,5,0.111111111,0.015873016,0.19047619,0.126984127,0.19047619,0.365079365,1,0,,,,,,,,,,,
P28742,881,939,58,0.0912,0.000678,6, nan, cytoplasm; cytoskeleton; spindle,4.471,2,2,4,6,2,0,0,13,1,5,1,11,0,3,0,5,3,0,0,1,0.169491525,0.016949153,0.033898305,0.050847458,0.322033898,0.406779661,,,,,,,,,,,,,
P39974,3,84,81,0.6204,0.221443,90, nan, ,3.643,5,0,4,4,1,2,2,2,0,2,2,6,4,0,1,4,6,1,0,3,0.163265306,0.020408163,0.224489796,0.081632653,0.142857143,0.367346939,,,,,,,,,,,,,
P38692,354,404,50,0.2117,0.000054,30, False, ,3.659,5,0,8,3,3,0,1,1,1,4,1,5,1,0,0,5,1,0,2,5,0.239130435,0.02173913,0.130434783,0.217391304,0.130434783,0.260869565,,,,,,,,,,,,,
Q12151,297,341,44,0.1694,0.001889,18, False, nucleus,2.551,0,0,0,2,1,0,3,0,0,6,0,0,0,28,1,0,0,2,0,2,0.044444444,0.022222222,0,0.066666667,0.177777778,0.688888889,,,,,,,,,,,,,
P40523,46,131,85,0.2205,0.006744,30, nan, ,3.791,1,0,3,2,2,3,1,1,1,4,2,3,6,3,0,2,6,1,1,3,0.111111111,0.022222222,0.222222222,0.133333333,0.177777778,0.333333333,,,,,,,,,,,,,
P38911,116,163,47,0.0965,0.000963,6, False, nucleus; nucleolus,4.219,2,0,1,5,2,2,1,2,1,4,0,1,1,5,0,6,3,4,0,3,0.139534884,0.023255814,0.11627907,0.11627907,0.23255814,0.372093023,,,,,,,,,,,,,
Q04052,887,931,44,0.575,0.111898,90, nan, nucleus,3.828,1,1,4,6,3,4,0,2,0,3,1,5,0,2,1,0,2,2,0,2,0.256410256,0.025641026,0.128205128,0.128205128,0.205128205,0.256410256,,,,,,,,,,,,,
